method,backend,precision,input_bits,seed,run_id,top1,top5,latency_ms,throughput,total_samples,latency_std
ptq,pytorch,fp16,4,seed_42,torch_ptq_fp16_b4_cuda,78.65,93.54,3.103,322.3,4970,1.244
ptq,pytorch,fp32,4,seed_42,torch_ptq_fp32_b4_cuda,78.61,93.54,3.066,326.2,4970,1.244
ptq,pytorch,fp16,8,seed_42,torch_ptq_fp16_b8_cuda,78.07,93.52,3.001,333.2,4970,1.244
ptq,pytorch,fp32,8,seed_42,torch_ptq_fp32_b8_cuda,78.11,93.5,3.087,324.0,4970,1.244
ptq,tensorrt,fp16,1,seed_42,trt_ptq_fp16_b1_cuda,69.03,89.42,0.475,2103.6,4970,0.136
ptq,tensorrt,fp32,1,seed_42,trt_ptq_fp32_b1_cuda,69.03,89.42,0.931,1074.4,4970,0.136
ptq,tensorrt,fp8,1,seed_42,trt_ptq_fp8_b1_cuda,68.99,89.6,0.634,1576.4,4970,0.276
ptq,tensorrt,int4,1,seed_42,trt_ptq_int4_b1_cuda,68.17,89.38,0.496,2016.2,4970,0.276
ptq,tensorrt,int8,1,seed_42,trt_ptq_int8_b1_cuda,68.99,89.36,0.732,1367.0,4970,0.276
ptq,tensorrt,fp16,2,seed_42,trt_ptq_fp16_b2_cuda,76.44,93.2,0.474,2111.6,4970,0.136
ptq,tensorrt,fp32,2,seed_42,trt_ptq_fp32_b2_cuda,76.42,93.2,0.934,1070.8,4970,0.136
ptq,tensorrt,fp8,2,seed_42,trt_ptq_fp8_b2_cuda,76.3,93.26,0.647,1545.9,4970,0.276
ptq,tensorrt,int4,2,seed_42,trt_ptq_int4_b2_cuda,75.75,93.08,0.483,2070.6,4970,0.276
ptq,tensorrt,int8,2,seed_42,trt_ptq_int8_b2_cuda,76.38,93.3,0.685,1459.8,4970,0.276
ptq,tensorrt,fp16,4,seed_42,trt_ptq_fp16_b4_cuda,78.65,93.52,0.475,2103.1,4970,0.136
ptq,tensorrt,fp32,4,seed_42,trt_ptq_fp32_b4_cuda,78.65,93.54,0.958,1044.1,4970,0.136
ptq,tensorrt,fp8,4,seed_42,trt_ptq_fp8_b4_cuda,78.65,93.54,0.646,1548.6,4970,0.276
ptq,tensorrt,int4,4,seed_42,trt_ptq_int4_b4_cuda,78.27,93.22,0.501,1994.5,4970,0.276
ptq,tensorrt,int8,4,seed_42,trt_ptq_int8_b4_cuda,78.61,93.42,0.695,1439.5,4970,0.276
ptq,tensorrt,fp16,8,seed_42,trt_ptq_fp16_b8_cuda,78.09,93.52,0.518,1931.0,4970,0.136
ptq,tensorrt,fp32,8,seed_42,trt_ptq_fp32_b8_cuda,78.07,93.5,0.959,1043.0,4970,0.136
ptq,tensorrt,fp8,8,seed_42,trt_ptq_fp8_b8_cuda,78.05,93.52,0.648,1543.5,4970,0.276
ptq,tensorrt,int4,8,seed_42,trt_ptq_int4_b8_cuda,78.03,93.4,0.479,2086.0,4970,0.276
ptq,tensorrt,int8,8,seed_42,trt_ptq_int8_b8_cuda,77.75,93.38,0.671,1490.6,4970,0.276
